Logging overview + all games to file
Deck used: "boros_burn"
Overview of games:
 GameNum      Turns     Creatures    Oneshots    MissedLands 
   183           3           2           3           0
   184           4           2           3           0
   185           4           2           2           0
   186           4           2           4           1
   187           4           2           4           2
   188           3           3           2           0
   189           3           3           3           1
   190           6           1           6           0
   191           4           2           3           0
   192           3           3           2           0
   193           3           2           3           0
   194           4           2           3           0
   195           3           2           3           0
   196           4           1           4           0
   197           3           3           3           0
   198           4           1           5           0
   199           4           1           4           0
   200           4           1           4           0
   201           4           2           4           0
   202           3           2           3           0
   203           4           1           5           1
   204           3           3           2           1
   205           4           1           5           0
   206           4           1           4           0
   207           4           1           5           0
   208           3           3           3           0
   209           3           3           3           1
   210           4           1           4           0
   211           3           3           3           0
   212           4           2           4           0
   213           3           2           3           0
   214           4           1           4           0
   215           3           2           3           0
   216           3           4           1           0
   217           4           3           3           2
   218           4           2           4           0
   219           3           2           3           0
   220           7           1           6           0
   221           4           0           6           0
   222           4           2           4           0
   223           3           2           3           0
   224           4           1           4           0
   225           3           2           3           0
   226           5           1           6           1
   227           4           2           4           0
   228           4           2           3           2
   229           3           2           4           0
   230           5           1           5           1
   231           4           3           4           1
   232           4           1           4           0
   233           7           0           7           3
   234           3           3           3           0
   235           4           2           4           1
   236           5           1           6           1
   237           4           2           4           1
   238           6           2           3           1
   239           3           3           3           0
   240           3           3           3           0
   241           4           2           4           0
   242           4           2           3           0
   243           3           3           3           0
   244           4           1           5           0
   245           4           1           4           0
   246           4           3           3           0
   247           3           3           3           1
   248           5           2           4           1
   249           4           1           4           0
   250           4           2           4           1
   251           3           2           3           0
   252           4           2           3           1
   253           4           1           4           1
   254           4           1           5           1
   255           3           2           3           0
   256           4           1           5           0
   257           3           2           3           0
   258           4           2           3           0
   259           5           1           5           0
   260           4           2           3           0
   261           8           2           5           2
   262           4           2           4           1
   263           3           2           3           0
   264           4           1           4           0
   265           4           2           3           0
   266           3           3           3           0
   267           4           2           4           1
   268           4           1           4           0
   269           4           2           4           0
   270           3           3           2           0
   271           4           2           4           2
   272           3           2           3           0
   273           3           3           3           1
   274           4           2           4           0
   275           5           2           4           0
   276           6           1           5           0
   277           3           2           3           0
   278           5           1           5           0
   279           6           2           6           1
   280           3           3           3           0
   281           4           2           4           1
   282           4           2           4           0
   283           3           2           3           1
   284           4           1           4           2
   285           3           2           3           0
   286           4           1           5           1
   287           4           2           4           0
   288           4           3           4           0
   289           4           2           3           0
   290           4           2           3           1
   291           4           2           4           0
   292           4           2           4           0
   293           4           2           3           0
   294           4           1           4           0
   295           6           1           6           2
   296           7           0           7           0
   297           4           2           4           2
   298           4           2           3           0
   299           4           2           4           2
   300           4           2           5           0
   301           3           2           3           0
   302           3           3           2           0
   303           3           2           3           1
   304           6           1           6           0
   305           3           2           4           0
   306           4           2           4           0
   307           4           3           2           1
   308           3           2           3           0
   309           5           1           5           0
     1           4           2           4           0
   311           4           2           4           1
   312           4           2           4           1
   313           3           3           3           1
   314           4           1           4           0
   315           4           2           4           1
   316           4           1           4           0
   317           6           0           7           0
   318           8           1           6           0
   319           4           1           5           0
   320           4           1           4           0
   321           4           1           4           0
   322           4           1           4           1
   323           3           4           3           0
   324           4           1           5           0
   325           4           3           3           1
   326           4           1           4           0
   327           3           3           3           0
   328           4           1           4           1
   329           4           1           4           1
   330           4           1           4           0
   331           4           1           4           0
   332           3           2           3           0
   333           4           2           5           2
   334           4           1           4           0
   335           4           1           4           2
   336           5           2           2           0
   337           4           2           3           0
   338           5           2           5           2
   339           5           2           4           1
   340           3           2           3           0
   341           8           1           6           0
   342           4           3           3           1
   343           4           1           4           0
   344           5           2           4           0
   345           3           2           3           0
   346           6           0           7           1
   347           4           3           2           0
   348           3           3           3           1
   349           4           1           4           0
   350           5           2           5           1
   351           4           1           4           0
   352           4           2           3           0
   353           6           1           6           1
   354           4           2           4           0
   355           5           1           5           0
   356           3           2           3           0
   357           3           3           2           0
   358           3           3           3           0
   359           5           1           4           0
   360           4           3           2           0
   361           4           1           4           1
   362           4           2           4           1
   363           4           2           4           1
   364           4           2           4           0
   365           4           1           6           0
   366           5           1           4           1
   367           4           1           4           2
   368           4           2           4           0
   369           4           1           4           1
   370           3           2           3           0
   371           3           2           3           0
   372           5           1           4           0
   373           3           2           3           0
   374           3           3           2           1
   375           4           1           4           0
   376           5           2           3           1
   377           4           2           5           0
   378           4           1           4           0
   379           6           1           4           0
   380           4           2           5           2
   381           4           2           4           0
   382           3           2           3           0
   383           2           4           2           0
   384           4           2           3           1
   385           3           3           3           0
   386           4           2           3           0
   387           4           2           4           0
   388           3           2           4           1
   389           5           1           6           0
   390           4           3           4           1
   391           4           2           4           0
   392           3           2           4           0
   393           3           2           3           0
   394           3           3           2           0
   395           5           1           4           0
   396           5           1           4           1
   397           4           1           4           0
   398           4           2           4           2
   399           3           2           3           0
   400           3           2           3           0
   401           4           1           5           1
   402           7           2           5           1
   403           4           2           4           1
   404           5           2           4           2
   405           4           2           4           0
   406           4           2           2           0
   407           4           1           4           0
   408           4           2           4           0
   409           3           2           3           0
   410           5           1           6           0
   411           4           2           4           1
   412           4           3           3           0
   413           5           2           3           0
   414           4           3           4           1
   415           3           2           3           0
   416           4           2           4           2
   417           4           2           3           0
   418           3           4           1           0
   419           4           2           4           2
   420           3           3           3           0
   421           5           3           1           0
   422           4           2           4           1
   423           4           1           4           0
   424           4           3           3           0
   425           5           0           7           0
   426           4           1           4           1
   427           4           2           3           1
   428           3           3           3           0
   429           3           3           3           0
   430           3           3           3           0
   431           4           2           3           0
   432           4           1           4           0
   433           3           2           3           0
   434           3           2           3           0
   435           3           2           3           0
   436           3           3           3           0
   437           3           2           4           0
   438           4           2           4           0
   439           6           2           3           0
   440           4           2           4           0
   441           4           1           4           1
   442           4           1           4           0
   443           3           3           3           0
   444           4           2           4           1
   445           5           1           6           1
   446           3           3           3           0
   447           3           2           3           0
   448           4           1           4           0
   449           3           2           3           0
   450           4           1           4           0
   451           3           3           3           0
   452           4           2           4           1
   453           4           1           5           0
   454           3           3           2           1
   455           3           1           4           0
   456           4           3           4           0
   457           5           1           4           0
   458           5           1           6           2
   459           5           2           2           0
   460           4           1           4           0
   461           3           2           3           0
   462           4           1           5           0
   463           3           2           3           0
   464           4           2           4           1
   465           4           1           4           0
   466           4           2           3           0
   467           6           1           4           0
   468           5           1           5           0
   469           4           2           4           0
   470           4           1           5           0
   471           5           1           6           0
   472           3           2           3           0
   473           3           2           3           1
   474           6           1           7           3
   475           5           0           7           1
   476           4           1           4           0
   477           4           1           4           0
   478           3           3           3           0
   479           5           1           4           0
   480           4           2           4           2
   481           6           1           3           1
   482           5           1           4           0
   483           6           0           7           1
   484           3           2           3           1
   485           4           1           4           1
   486           4           2           3           0
   487           4           2           5           2
   488           4           3           3           1
   489           4           2           4           1
   490           4           2           4           1
   491           4           1           5           0
   492           4           1           5           0
   493           3           2           3           0
   494           4           1           4           0
   495           6           2           5           0
   496           3           2           3           0
   497           4           3           3           0
   498           4           2           4           1
   499           4           2           3           0
   500           5           1           4           0
   501           4           1           4           0
   502           4           3           4           1
   503           3           2           3           0
   504           4           3           3           0
   505           3           2           3           0
   506           4           1           4           0
   507           4           2           4           0
   508           5           2           5           0
   509           3           4           3           1
   510           3           2           3           0
   511           4           2           4           0
   512           4           2           2           0
   513           5           1           5           0
   514           7           0           7           1
   515           3           2           3           0
   516           3           3           3           0
   517           3           2           3           0
   518           5           1           4           0
   519           4           1           4           0
   520           4           1           4           1
   521           5           1           4           0
   522           7           0           7           1
   523           4           1           4           0
   524           4           1           4           0
   525           4           2           5           0
   526           4           1           4           0
   527           4           2           4           0
   528           4           1           4           1
   529           5           1           6           2
   530           3           3           3           0
   531           3           2           3           0
   532           3           2           3           0
   533           3           3           2           0
   534           4           1           4           0
   535           4           2           3           0
   536           3           2           3           0
   537           3           3           3           0
   538           5           1           5           2
   539           3           3           2           1
   540           4           2           4           2
   541           4           2           4           1
   542           3           3           3           0
   543           3           3           3           0
   544           5           2           4           2
   545           4           1           4           0
   546           4           2           3           0
   547           4           2           4           0
   548           3           3           2           0
   549           4           2           3           0
   550           3           2           3           0
   551           4           2           4           0
   552           4           2           4           1
   553           4           1           4           2
   554           5           1           4           0
   555           4           1           4           1
   556           3           4           3           0
   557           4           1           4           0
   558           3           2           3           0
   559           4           1           5           0
   560           3           2           3           0
   561           4           1           5           0
   562           4           1           5           0
   563           5           1           4           0
   564           4           3           4           0
   565           3           2           3           0
   566           5           1           7           1
   567           4           1           4           0
   568           3           2           3           0
   569           4           1           4           0
   570           3           2           3           0
   571           4           2           3           1
   572           5           3           4           2
   573           4           1           4           0
   574           4           2           3           2
   575           5           1           6           1
   576           4           2           4           0
   577           5           2           4           0
   578           4           1           4           0
   579           3           3           3           1
   580           3           2           3           1
   581           6           1           6           2
   582           4           1           4           0
   583           4           1           4           0
   584           3           2           3           1
   585           3           3           3           0
   586           4           2           4           1
   587           4           2           2           0
   588           3           3           3           0
   589           4           1           5           0
   590           3           3           2           0
   591           5           2           3           0
   592           4           1           4           1
   593           3           2           4           1
   594           4           1           4           1
   595           5           0           6           2
   596           4           1           4           0
   597           3           2           3           0
   598           4           1           4           0
   599           4           1           5           0
   600           3           3           2           1
   601           5           1           4           0
   602           4           1           4           0
   603           3           3           2           0
   604           4           1           4           0
   605           5           1           6           1
   606           3           3           3           1
   607           3           3           3           0
   608           3           2           3           0
   609           4           2           3           0
   610           4           3           2           0
   611           3           2           3           1
   612           3           2           3           0
   613           4           1           4           0
   614           3           2           4           1
   615           3           2           4           1
   616           4           2           4           1
   617           4           2           4           0
   618           8           0           7           0
   619           3           3           3           0
   620           3           2           3           0
   621           4           2           3           0
   622           3           2           3           0
   623           4           1           4           0
   624           4           2           3           0
   625           3           4           1           2
   626           3           2           3           0
   627           3           3           3           0
   628           4           2           4           0
   629           3           4           1           0
   630           4           1           4           0
   631           5           2           4           0
   632           3           4           3           1
   633           4           1           5           1
   634           4           2           5           0
   635           5           1           5           0
   636           4           1           4           0
   637           3           3           3           0
   638           3           2           3           0
   639           3           2           3           0
   640           4           2           4           1
   641           4           2           3           0
   642           4           1           4           0
   643           4           1           4           0
   644           6           2           3           0
   645           4           1           5           0
   646           3           2           4           1
   647           4           1           4           1
   648           4           1           4           0
   649           3           2           3           0
   650           4           1           4           0
   651           4           1           5           1
   652           4           2           3           0
   653           4           3           2           0
   654           4           2           4           0
   655           4           3           4           1
   656           4           1           4           0
   657           3           2           3           0
   658           4           2           4           1
   659           3           2           3           0
   660           4           1           5           1
   661           3           2           3           0
   662           4           1           4           0
   663           3           2           3           0
   664           5           0           6           0
   665           3           3           3           0
   666           3           2           4           0
   667           4           1           5           0
   668           4           3           4           1
   669           4           2           3           0
   670           4           1           4           0
   671           2           4           2           0
   672           4           2           4           0
   673           4           1           4           0
   674           3           2           4           0
   675           3           2           3           0
   676           4           2           3           1
   677           3           2           3           0
   678           4           1           4           1
   679           3           4           3           0
   680           4           1           4           0
   681           4           2           4           1
   682           3           2           3           2
   683           5           2           3           0
   684           4           1           4           0
   685           4           1           4           1
   686           3           3           3           1
   687           5           1           4           1
   688           4           1           4           0
   689           4           1           5           0
   690           4           3           3           1
   691           3           2           3           0
   692           3           2           3           0
   693           3           2           3           0
   694           4           2           4           1
   695           4           1           4           0
   696           6           1           4           0
   697           3           2           3           0
   698           4           3           4           1
   699           4           2           5           0
   700           6           1           3           0
   701           6           2           4           0
   702           4           2           4           0
   703           3           2           3           0
   704           3           2           3           0
   705           4           3           4           1
   706           4           2           2           0
   707           3           2           3           0
   708           4           2           4           1
   709           4           2           4           1
   710           4           2           5           0
   711           3           2           3           0
   712           3           2           3           0
   713           4           3           4           2
   714           4           2           4           1
   715           4           2           4           0
   716           3           3           3           1
   717           6           1           6           1
   718           4           1           5           0
   719           7           1           5           0
   720           4           2           3           0
   721           4           2           4           1
   722           4           2           4           1
   723           5           2           3           0
   724           4           2           4           0
   725           4           2           4           2
   726           3           3           3           0
   727           4           2           4           0
   728           3           3           3           1
   729           5           2           5           0
   730           3           3           2           0
   731           4           1           4           0
   732           4           1           4           0
   733           4           1           4           1
   734           4           1           5           0
   735           3           2           3           1
   736           4           1           4           0
   737           5           3           2           0
   738           4           2           4           0
   739           4           2           3           0
   740           4           2           3           0
   741           4           1           4           0
   742           3           2           3           0
   743           4           3           2           3
   744           6           1           6           0
   745           3           3           3           0
   746           3           2           3           0
   747           3           2           3           0
   748           4           2           4           1
   749           4           2           4           0
   750           3           2           3           0
   751           4           1           5           0
   752           4           3           2           0
   753           7           0           7           2
   754           4           3           3           0
   755           4           1           4           0
   756           3           3           3           1
   757           4           1           4           1
   758           4           1           5           1
   759           6           1           5           2
   760           4           2           4           0
   761           3           3           3           0
   762           4           1           4           0
   763           4           1           4           0
   764           3           2           3           0
   765           4           2           3           0
   766           4           1           4           0
   767           3           2           4           0
   768           4           2           4           0
   769           4           2           4           1
   770           4           1           4           0
   771           5           1           4           0
   772           4           1           4           1
   773           4           1           4           2
   774           4           1           4           0
   775           4           1           4           0
   776           4           1           4           0
   777           5           2           2           0
   778           4           3           3           1
   779           4           2           3           0
   780           3           2           3           1
   781           3           2           3           1
   782           3           2           3           0
   783           6           1           3           0
   784           4           2           4           1
   785           4           2           4           2
   786           4           2           3           0
   787           4           1           5           0
   788           5           2           3           0
   789           3           2           3           0
   790           4           1           4           1
   791           4           1           4           0
   792           4           1           4           0
   793           4           2           3           0
   794           4           2           4           1
   795           3           2           3           0
   796           3           3           3           0
   797           5           2           3           0
   798           6           1           6           1
   799           4           2           4           0
   800           3           3           3           0
   801           3           2           3           0
   802           4           2           2           0
   803           4           2           3           1
   804           4           1           5           1
   805           3           3           3           0
   806           4           2           3           0
   807           3           3           2           0
   808           6           2           6           3
   809           4           1           4           0
   810           3           2           3           0
   811           4           1           4           0
   812           4           3           3           2
   813           4           2           4           0
   814           4           1           4           0
   815           3           2           3           0
   816           4           3           3           2
   817           4           1           4           2
   818           3           2           3           1
